Beginning of 3683 lines of CVR
1	102  Ward 2	5121627 N	2	1	Republican 
11	102  Ward 2	5121627		3	52	No						Statewide Amendment No 1
11	102  Ward 2	5121627		3	58	No						Local Question 2
11	102  Ward 2	5121627		3	13	James E Jim		 Clyburn CONG006 U.S. House of Representatives
11	102  Ward 2	5121627		3	23	J Todd Rutherford		 HOU074 State House of Representatives
11	102  Ward 2	5121627		3	29	Gary Watts				Coroner
11	102  Ward 2	5121627		3	35	John V Green		 Soil and Water District Commission
11	102  Ward 2	5121627		3	40	Antjuan Seawright				SCH1ALG School Board District 1 At Large
11	102  Ward 2	5121627		3	51	Yes						Statewide Amendment No 1
11	102  Ward 2	5121627		3	57	Yes						Local Question 2
11	102  Ward 2	5121627		3	13	James E Jim		 Clyburn CONG006 U.S. House of Representatives
11	102  Ward 2	5121627		3	23	J Todd Rutherford		 HOU074 State House of Representatives
11	102  Ward 2	5121627		3	29	Gary Watts				Coroner
11	102  Ward 2	5121627		3	38	Vince Ford				SCH1ALG School Board District 1 At Large
11	102  Ward 2	5121627		3	52	No						Statewide Amendment No 1
11	102  Ward 2	5121627		3	57	Yes						Local Question 2
11	102  Ward 2	5121627		3	9	Barack Obama				President of Vice President
11	102  Ward 2	5121627		3	17	Darrell Jackson				SEND021 State Senate
11	102  Ward 2	5121627		3	26	Leon Lott				Sheriff
11	102  Ward 2	5121627		3	32	Jeanette W McBride		 Clerk of Court
11	102  Ward 2	5121627		3	51	Yes						Statewide Amendment No 1
11	102  Ward 2	5121627		3	57	Yes						Local Question 2
11	102  Ward 2	5121627		3	13	James E Jim		 Clyburn CONG006 U.S. House of Representatives
11	102  Ward 2	5121627		3	23	J Todd Rutherford		 HOU074 State House of Representatives
11	102  Ward 2	5121627		3	29	Gary Watts				Coroner
11	102  Ward 2	5121627		3	35	John V Green		 Soil and Water District Commission
11	102  Ward 2	5121627		3	45	Beatrice King				SCHO013 School Board District 1 Seat 3
11	102  Ward 2	5121627		3	54	Yes						Local Question 1
12	102  Ward 2	5121627 N	3	9	Barack Obama		 President of Vice President
12	102  Ward 2	5121627		3	23	J Todd Rutherford		 HOU074 State House of Representatives
12	102  Ward 2	5121627		3	32	Jeanette W McBride		 Clerk of Court
12	102  Ward 2	5121627		3	41	Barbara A Scott		 SCH1ALG School Board District 1 At Large
12	102  Ward 2	5121627		3	52	No						Statewide Amendment No 1
12	102  Ward 2	5121627		3	58	No						Local Question 2
12	102  Ward 2	5121627		3	13	James E Jim		 Clyburn CONG006 U.S. House of Representatives
12	102  Ward 2	5121627		3	23	J Todd Rutherford		 HOU074 State House of Representatives
12	102  Ward 2	5121627		3	32	Jeanette W McBride		 Clerk of Court
12	102  Ward 2	5121627		3	54	Yes						Local Question 1
13	102  Ward 2	5121627 N	3	3	Democratic 
13	102  Ward 2	5121627		3	13	James E Jim		 Clyburn CONG006 U.S. House of Representatives
